"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"tendrac","animal","small often spiny insectivorous mammal of Madagascar","1"," resembles a hedgehog"
"tenebrionid","animal","sluggish hard-bodied black terrestrial weevil whose larvae feed on e.g. decaying plant material or grain","1","sluggish hard-bodied black terrestrial weevil whose larvae feed on e.g. decaying plant material or grain"
"Tenebrionidae","animal","a family of arthropods including darkling beetles and mealworms","1","a family of arthropods including darkling beetles and mealworms"
"Tennessee_walker","animal","a horse marked by stamina and trained to move at a fast running walk","1","a horse marked by stamina and trained to move at a fast running walk"
"Tennessee_walking_horse","animal","a horse marked by stamina and trained to move at a fast running walk","1","a horse marked by stamina and trained to move at a fast running walk"
"tenpounder","animal","game fish resembling the tarpon but smaller","1","game fish resembling the tarpon but smaller"
"tenrec","animal","small often spiny insectivorous mammal of Madagascar","1"," resembles a hedgehog"
"Tenrec_ecaudatus","animal","prolific animal that feeds chiefly on earthworms","1","prolific animal that feeds chiefly on earthworms"
"Tenrecidae","animal","tenrecs and extinct related forms","1","tenrecs and extinct related forms"
"tent-caterpillar_moth","animal","moth whose gregarious larvae spin webs resembling carpets","1","moth whose gregarious larvae spin webs resembling carpets"
"tent_caterpillar","animal","the larvae of moths that build and live in communal silken webs in orchard and shade trees","1","the larvae of moths that build and live in communal silken webs in orchard and shade trees"
"tentacle","animal","any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals","2"," used for feeling or grasping or locomotion"
"Tentaculata","animal","ctenophores have retractile tentacles","1","ctenophores have retractile tentacles"
"Tenthredinidae","animal","sawflies","1","sawflies"
"teras","animal","(medicine) a grossly malformed and usually nonviable fetus","1","(medicine) a grossly malformed and usually nonviable fetus"
"tercel","animal","male hawk especially male peregrine or gyrfalcon","1","male hawk especially male peregrine or gyrfalcon"
"tercelet","animal","male hawk especially male peregrine or gyrfalcon","1","male hawk especially male peregrine or gyrfalcon"
"Terebella","animal","type genus of Terebellidae","1"," tube-forming marine polychete worms with many filamentous tentacles"
"Terebellidae","animal","marine burrowing or tube-forming polychete worms usually having long thick bodies","1","marine burrowing or tube-forming polychete worms usually having long thick bodies"
"teredinid","animal","wormlike marine bivalve that bores into wooden piers and ships by means of drill-like shells","1","wormlike marine bivalve that bores into wooden piers and ships by means of drill-like shells"
"Teredinidae","animal","shipworms","1","shipworms"
"teredo","animal","typical shipworm","1","typical shipworm"
"Termes","animal","type genus of the Termitidae","1","type genus of the Termitidae"
"termite","animal","whitish soft-bodied ant-like social insect that feeds on wood","1","whitish soft-bodied ant-like social insect that feeds on wood"
"Termitidae","animal","termites","1","termites"
"tern","animal","small slender gull having narrow wings and a forked tail","1","small slender gull having narrow wings and a forked tail"
"Terrapene","animal","box turtles","1","box turtles"
"Terrapene_ornata","animal","primarily a prairie turtle of western United States and northern Mexico","1","primarily a prairie turtle of western United States and northern Mexico"
"terrapin","animal","any of various edible North American web-footed turtles living in fresh or brackish water","1","any of various edible North American web-footed turtles living in fresh or brackish water"
"terrier","animal","any of several usually small short-bodied breeds originally trained to hunt animals living underground","2","any of several usually small short-bodied breeds originally trained to hunt animals living underground"
"test","animal","a hard outer covering as of some amoebas and sea urchins","6","a hard outer covering as of some amoebas and sea urchins"
"Testacea","animal","testacean rhizopods","1","testacean rhizopods"
"testacean","animal","any of various rhizopods of the order Testacea characterized by having a shell","1","any of various rhizopods of the order Testacea characterized by having a shell"
"Testudinata","animal","tortoises and turtles","1","tortoises and turtles"
"Testudines","animal","tortoises and turtles","1","tortoises and turtles"
"Testudinidae","animal","land tortoises","1","land tortoises"
"Testudo","animal","type genus of the Testudinidae","1","type genus of the Testudinidae"
"Testudo_graeca","animal","small land tortoise of southern Europe","1","small land tortoise of southern Europe"
"Tethyidae","animal","sea hares","1","sea hares"
"Tethys","animal","type genus of the family Aplysiidae","1","type genus of the family Aplysiidae"
"tetra","animal","brightly colored tropical freshwater fishes","1","brightly colored tropical freshwater fishes"
"Tetragonurus","animal","a genus of Stromateidae","1","a genus of Stromateidae"
"tetrahymena","animal","relative of the paramecium","1"," often used in genetics research"
"tetranychid","animal","web-spinning mite that attacks garden plants and fruit trees","1","web-spinning mite that attacks garden plants and fruit trees"
"Tetranychidae","animal","plant-feeding mites","1","plant-feeding mites"
"Tetrao","animal","type genus of the Tetraonidae: capercaillies","1","type genus of the Tetraonidae: capercaillies"
"Tetrao_urogallus","animal","large black Old World grouse","1","large black Old World grouse"
"Tetraodontidae","animal","puffers","1","puffers"
"Tetraonidae","animal","grouse","1","grouse"
"tetrapod","animal","a vertebrate animal having four feet or legs or leglike appendages","1","a vertebrate animal having four feet or legs or leglike appendages"
"Tetrapturus","animal","a genus of Istiophoridae","1","a genus of Istiophoridae"
"tettigoniid","animal","grasshoppers with long threadlike antennae and well-developed stridulating organs on the forewings of the male","1","grasshoppers with long threadlike antennae and well-developed stridulating organs on the forewings of the male"
"Tettigoniidae","animal","long-horned grasshoppers","1"," katydids"
"Texas_armadillo","animal","having nine hinged bands of bony plates","1"," ranges from Texas to Paraguay"
"Texas_chachalaca","animal","of Mexico and Texas","1","of Mexico and Texas"
"Texas_horned_lizard","animal","of arid and semiarid open country","1","of arid and semiarid open country"
"Texas_longhorn","animal","long-horned beef cattle formerly common in southwestern United States","1","long-horned beef cattle formerly common in southwestern United States"
"Texas_toad","animal","nocturnal burrowing toad of mesquite woodland and prairies of the United States southwest","1","nocturnal burrowing toad of mesquite woodland and prairies of the United States southwest"
"Texas_tortoise","animal","close relative to the desert tortoise","1"," may be reclassified as a member of genus Xerobates"
"Thalarctos","animal","polar bears","1"," in some classifications not a separate genus from Ursus"
"Thalarctos_maritimus","animal","white bear of Arctic regions","1","white bear of Arctic regions"
"Thalassoma","animal","a genus of Labridae","1","a genus of Labridae"
"Thalassoma_bifasciatum","animal","small Atlantic wrasse the male of which has a brilliant blue head","1","small Atlantic wrasse the male of which has a brilliant blue head"
"Thaliacea","animal","small class of free-swimming tunicates","1"," sometimes classified as an order"
"Thamnophilus","animal","a genus of Formicariidae","1","a genus of Formicariidae"
"Thamnophis","animal","garter snakes","2","garter snakes"
"Thamnophis_proximus","animal","yellow- or reddish-striped snake of temperate woodlands and grasslands to tropics","1","yellow- or reddish-striped snake of temperate woodlands and grasslands to tropics"
"Thamnophis_sauritus","animal","slender yellow-striped North American garter snake","1"," prefers wet places"
"Thamnophis_sirtalis","animal","a garter snake that is widespread in North America","1","a garter snake that is widespread in North America"
"theca","animal","outer sheath of the pupa of certain insects","1","outer sheath of the pupa of certain insects"
"thecodont","animal","presumably in the common ancestral line to dinosaurs and crocodiles and birds","1","presumably in the common ancestral line to dinosaurs and crocodiles and birds"
"thecodont_reptile","animal","presumably in the common ancestral line to dinosaurs and crocodiles and birds","1","presumably in the common ancestral line to dinosaurs and crocodiles and birds"
"Thecodontia","animal","extinct terrestrial reptiles having teeth set in sockets","1"," of the late Permian to Triassic"
"Theraphosidae","animal","large tropical spiders","1"," tarantulas"
"therapsid","animal","probably warm-blooded","1"," considered direct ancestor of mammals"
"Therapsida","animal","extinct mammal-like reptiles found inhabiting all continents from the mid Permian to late Triassic","1","extinct mammal-like reptiles found inhabiting all continents from the mid Permian to late Triassic"
"theridiid","animal","spider having a comb-like row of bristles on each hind foot","1","spider having a comb-like row of bristles on each hind foot"
"Theridiidae","animal","a family of comb-footed spiders","1","a family of comb-footed spiders"
"thermoacidophile","animal","archaebacteria that thrive in strongly acidic environments at high temperatures","1","archaebacteria that thrive in strongly acidic environments at high temperatures"
"Thermobia","animal","a genus of Lepismatidae","1","a genus of Lepismatidae"
"Thermobia_domestica","animal","lives in warm moist areas e.g. around furnaces","1","lives in warm moist areas e.g. around furnaces"
"theropod","animal","any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs","1","any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs"
"theropod_dinosaur","animal","any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs","1","any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs"
"Theropoda","animal","carnivorous saurischian dinosaurs with short forelimbs","1"," Jurassic and Cretaceous"
"thick-billed_murre","animal","a variety of murre","1","a variety of murre"
"thick-knee","animal","large-headed large-eyed crepuscular or nocturnal shorebird of the Old World and tropical America having a thickened knee joint","1","large-headed large-eyed crepuscular or nocturnal shorebird of the Old World and tropical America having a thickened knee joint"
"thick_skin","animal","skin that is very thick (as an elephant or rhinoceros)","1","skin that is very thick (as an elephant or rhinoceros)"
"thickhead","animal","Australian and southeastern Asian birds with a melodious whistling call","1","Australian and southeastern Asian birds with a melodious whistling call"
"thin-shelled_mussel","animal","mussel with thin fragile shells having only rudimentary hinge teeth","1","mussel with thin fragile shells having only rudimentary hinge teeth"
"thiobacillus","animal","small rod-shaped bacteria living in sewage or soil and oxidizing sulfur","1","small rod-shaped bacteria living in sewage or soil and oxidizing sulfur"
"thiobacteria","animal","any bacterium of the genus Thiobacillus","1","any bacterium of the genus Thiobacillus"
"Thiobacteriaceae","animal","free-living coccoid to rod-shaped bacteria that derive energy from oxidizing sulfur or sulfur compounds","1","free-living coccoid to rod-shaped bacteria that derive energy from oxidizing sulfur or sulfur compounds"
"third_stomach","animal","the third compartment of the stomach of a ruminant","1","the third compartment of the stomach of a ruminant"
"Thomomys","animal","western pocket gophers","1","western pocket gophers"
"Thomomys_bottae","animal","of valleys and mountain meadows of western United States","1","of valleys and mountain meadows of western United States"
"Thomomys_talpoides","animal","greyish to brown gopher of western and central United States","1","greyish to brown gopher of western and central United States"
"Thomson's_gazelle","animal","East African gazelle","1"," the smallest gazelle"
"thorax","animal","part of an insect's body that bears the wings and legs","1","part of an insect's body that bears the wings and legs"
"thornbill","animal","any of various South American hummingbirds with a sharp pointed bill","1","any of various South American hummingbirds with a sharp pointed bill"
"thorny_skate","animal","cold-water bottom fish with spines on the back","1"," to 40 inches"
"thoroughbred","animal","a racehorse belonging to a breed that originated from a cross between Arabian stallions and English mares","1","a racehorse belonging to a breed that originated from a cross between Arabian stallions and English mares"
"thrasher","animal","thrush-like American songbird able to mimic other birdsongs","1","thrush-like American songbird able to mimic other birdsongs"
"Thraupidae","animal","tanagers","1","tanagers"
"thread-fish","animal","fish having greatly elongated front rays on dorsal and anal fins","1","fish having greatly elongated front rays on dorsal and anal fins"
"threadfin","animal","mullet-like tropical marine fishes having pectoral fins with long threadlike rays","1","mullet-like tropical marine fishes having pectoral fins with long threadlike rays"
"threadfish","animal","fish having greatly elongated front rays on dorsal and anal fins","1","fish having greatly elongated front rays on dorsal and anal fins"
"threadworm","animal","small threadlike worm infesting human intestines and rectum especially in children","1","small threadlike worm infesting human intestines and rectum especially in children"
"three-banded_armadillo","animal","South American armadillo with three bands of bony plates","1","South American armadillo with three bands of bony plates"
"three-spined_stickleback","animal","of rivers and coastal regions","1","of rivers and coastal regions"
"three-toed_sloth","animal","a sloth that has three long claws on each forefoot and each hindfoot","1","a sloth that has three long claws on each forefoot and each hindfoot"
"three-year-old_horse","animal","a racehorse that is three years old","1","a racehorse that is three years old"
"three_year_old","animal","a racehorse that is three years old","1","a racehorse that is three years old"
"thresher","animal","large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed","1","large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed"
"thresher_shark","animal","large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed","1","large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed"
"Threskiornis","animal","type genus of the Threskiornithidae","1","type genus of the Threskiornithidae"
"Threskiornis_aethiopica","animal","African ibis venerated by ancient Egyptians","1","African ibis venerated by ancient Egyptians"
"Threskiornithidae","animal","ibises","1","ibises"
"thrip","animal","any of various small to minute sucking insects with narrow feathery wings if any","1"," they feed on plant sap and many are destructive"
"thripid","animal","any of various small to minute sucking insects with narrow feathery wings if any","1"," they feed on plant sap and many are destructive"
"Thripidae","animal","thrips","1","thrips"
"thrips","animal","any of various small to minute sucking insects with narrow feathery wings if any","1"," they feed on plant sap and many are destructive"
"Thrips_tobaci","animal","injurious to onion plants and sometimes tobacco","1","injurious to onion plants and sometimes tobacco"
"throat","animal","the part of an animal's body that corresponds to a person's throat","4","the part of an animal's body that corresponds to a person's throat"
"throstle","animal","common Old World thrush noted for its song","1","common Old World thrush noted for its song"
"thrush","animal","songbirds characteristically having brownish upper plumage with a spotted breast","1","songbirds characteristically having brownish upper plumage with a spotted breast"
"thrush_nightingale","animal","large nightingale of eastern Europe","1","large nightingale of eastern Europe"
"Thryothorus","animal","Carolina wrens","1","Carolina wrens"
"Thryothorus_ludovicianus","animal","large United States wren with a musical call","1","large United States wren with a musical call"
"thunder_lizard","animal","huge quadrupedal herbivorous dinosaur common in North America in the late Jurassic","1","huge quadrupedal herbivorous dinosaur common in North America in the late Jurassic"
"thunder_snake","animal","small reddish wormlike snake of eastern United States","1","small reddish wormlike snake of eastern United States"
"Thunnus","animal","tunas: warm-blooded fishes","1","tunas: warm-blooded fishes"
"Thunnus_alalunga","animal","large pelagic tuna the source of most canned tuna","1"," reaches 93 pounds and has long pectoral fins; found worldwide in tropical and temperate waters"
"Thunnus_albacares","animal","may reach 400 pounds","1"," worldwide in tropics"
"Thunnus_thynnus","animal","largest tuna","1"," to 1500 pounds; of mostly temperate seas: feed in polar regions but breed in tropics"
"thylacine","animal","rare doglike carnivorous marsupial of Tasmania having stripes on its back","1"," probably extinct"
"Thylacinus","animal","Tasmanian wolf","1","Tasmanian wolf"
"Thylacinus_cynocephalus","animal","rare doglike carnivorous marsupial of Tasmania having stripes on its back","1"," probably extinct"
"Thylogale","animal","pademelons","1","pademelons"
"Thyreophora","animal","armored dinosaurs: stegosaurs and ankylosaurs","1","armored dinosaurs: stegosaurs and ankylosaurs"
"thyreophoran","animal","armored dinosaurs: stegosaurs and ankylosaurs","1","armored dinosaurs: stegosaurs and ankylosaurs"
"thysanopter","animal","an insect of the order Thysanoptera","1","an insect of the order Thysanoptera"
"Thysanoptera","animal","thrips","1","thrips"
"thysanopteron","animal","an insect of the order Thysanoptera","1","an insect of the order Thysanoptera"
"thysanopterous_insect","animal","an insect of the order Thysanoptera","1","an insect of the order Thysanoptera"
"Thysanura","animal","firebrats","1"," silverfish; machilids"
"thysanuran_insect","animal","primitive wingless insects: bristletail","1","primitive wingless insects: bristletail"
"thysanuron","animal","primitive wingless insects: bristletail","1","primitive wingless insects: bristletail"
"Tibetan_mastiff","animal","very large powerful rough-coated dog native to central Asia","1","very large powerful rough-coated dog native to central Asia"
"Tibetan_terrier","animal","breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails","1","breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails"
"Tibicen","animal","harvest flies","1","harvest flies"
"Tichodroma","animal","wall creepers","1"," in some classifications placed in family Sittidae"
"Tichodroma_muriaria","animal","crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa","1","crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa"
"tichodrome","animal","crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa","1","crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa"
"tick","animal","any of two families of small parasitic arachnids with barbed proboscis","3"," feed on blood of warm-blooded animals"
"tiercel","animal","male hawk especially male peregrine or gyrfalcon","1","male hawk especially male peregrine or gyrfalcon"
"tiger","animal","large feline of forests in most of Asia having a tawny coat with black stripes","3"," endangered"
"tiger_beetle","animal","active usually bright-colored beetle that preys on other insects","1","active usually bright-colored beetle that preys on other insects"
"tiger_cat","animal","medium-sized wildcat of Central America and South America having a dark-striped coat","1","medium-sized wildcat of Central America and South America having a dark-striped coat"
"tiger_cowrie","animal","cowrie whose shell is used for ornament","1","cowrie whose shell is used for ornament"
"tiger_cub","animal","a young tiger","1","a young tiger"
"tiger_moth","animal","medium-sized moth with long richly colored and intricately patterned wings","1"," larvae are called woolly bears"
"tiger_rattlesnake","animal","having irregularly cross-banded back","1"," of arid foothills and canyons of southern Arizona and Mexico"
"tiger_salamander","animal","widely distributed brown or black North American salamander with vertical yellowish blotches","1","widely distributed brown or black North American salamander with vertical yellowish blotches"
"tiger_shark","animal","large dangerous warm-water shark with striped or spotted body","1","large dangerous warm-water shark with striped or spotted body"
"tiger_snake","animal","highly venomous brown-and-yellow snake of Australia and Tasmania","1","highly venomous brown-and-yellow snake of Australia and Tasmania"
"tiglon","animal","offspring of a male tiger and a female lion","1","offspring of a male tiger and a female lion"
"tigon","animal","offspring of a male tiger and a female lion","1","offspring of a male tiger and a female lion"
"tigress","animal","a female tiger","1","a female tiger"
"Tilapia","animal","a genus of Cichlidae","1","a genus of Cichlidae"
"Tilapia_nilotica","animal","important food fish of the Nile and other rivers of Africa and Asia Minor","1","important food fish of the Nile and other rivers of Africa and Asia Minor"
"tilefish","animal","important marine food fishes","1","important marine food fishes"
"Timalia","animal","type genus of the Timaliidae","1","type genus of the Timaliidae"
"Timaliidae","animal","babblers","1","babblers"
"timber_rattlesnake","animal","widely distributed in rugged ground of eastern United States","1","widely distributed in rugged ground of eastern United States"
"timber_wolf","animal","a wolf with a brindled grey coat living in forested northern regions of North America","1","a wolf with a brindled grey coat living in forested northern regions of North America"
"timucu","animal","found in warm waters of western Atlantic","1","found in warm waters of western Atlantic"
"Tinamidae","animal","comprising the tinamous","1","comprising the tinamous"
"Tinamiformes","animal","coextensive with the family Tinamidae","1","coextensive with the family Tinamidae"
"tinamou","animal","heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds","1","heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds"
"Tinca","animal","tench","1","tench"
"Tinca_tinca","animal","freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water","1","freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water"
"Tinea","animal","type genus of the Tineidae: clothes moths","1","type genus of the Tineidae: clothes moths"
"Tinea_pellionella","animal","the larvae live in tubes of its food material fastened with silk that it spins","1","the larvae live in tubes of its food material fastened with silk that it spins"
"tineid","animal","small yellowish moths whose larvae feed on wool or fur","1","small yellowish moths whose larvae feed on wool or fur"
"tineid_moth","animal","small yellowish moths whose larvae feed on wool or fur","1","small yellowish moths whose larvae feed on wool or fur"
"Tineidae","animal","clothes moths","1","clothes moths"
"tineoid","animal","small dull-colored moth with chewing mouthparts","1","small dull-colored moth with chewing mouthparts"
"tineoid_moth","animal","small dull-colored moth with chewing mouthparts","1","small dull-colored moth with chewing mouthparts"
"Tineoidea","animal","clothes moths","1"," carpet moths; leaf miners"
"Tineola","animal","webbing clothes moths","1","webbing clothes moths"
"Tineola_bisselliella","animal","moth that forms a web in which it lives","1","moth that forms a web in which it lives"
"Tingidae","animal","lace bugs","1","lace bugs"
"tinker","animal","small mackerel found nearly worldwide","1","small mackerel found nearly worldwide"
"Tipulidae","animal","crane flies","1","crane flies"
"tit","animal","small insectivorous birds","2","small insectivorous birds"
"titanosaur","animal","amphibious quadrupedal herbivorous dinosaur with a long thin neck and whiplike tail","1"," of the Cretaceous mostly in the southern hemisphere"
"titanosaurian","animal","amphibious quadrupedal herbivorous dinosaur with a long thin neck and whiplike tail","1"," of the Cretaceous mostly in the southern hemisphere"
"Titanosauridae","animal","herbivorous dinosaurs of the Cretaceous","1","herbivorous dinosaurs of the Cretaceous"
"Titanosaurus","animal","genus of herbivorous dinosaurs flourishing during the Cretaceous in South America","1","genus of herbivorous dinosaurs flourishing during the Cretaceous in South America"
"titi","animal","small South American monkeys with long beautiful fur and long nonprehensile tail","1","small South American monkeys with long beautiful fur and long nonprehensile tail"
"titi_monkey","animal","small South American monkeys with long beautiful fur and long nonprehensile tail","1","small South American monkeys with long beautiful fur and long nonprehensile tail"
"titlark","animal","a songbird that lives mainly on the ground in open country","1"," has streaky brown plumage"
"titmouse","animal","small insectivorous birds","1","small insectivorous birds"
"TMV","animal","the widely studied plant virus that causes tobacco mosaic","1"," it was the first virus discovered (1892)"
"toad","animal","any of various tailless stout-bodied amphibians with long hind limbs for leaping","2"," semiaquatic and terrestrial species"
"toad_frog","animal","any of various tailless stout-bodied amphibians with long hind limbs for leaping","1"," semiaquatic and terrestrial species"
"toadfish","animal","bottom-dwelling fish having scaleless slimy skin and a broad thick head with a wide mouth","1","bottom-dwelling fish having scaleless slimy skin and a broad thick head with a wide mouth"
"tobacco_budworm","animal","larva of a noctuid moth","1"," highly destructive to especially corn and cotton and tomato crops"
"tobacco_hornworm","animal","large green white-striped hawkmoth larva that feeds on tobacco and related plants","1"," similar to tomato hornworm"
"tobacco_mosaic_virus","animal","the widely studied plant virus that causes tobacco mosaic","2"," it was the first virus discovered (1892)"
"tobacco_moth","animal","small moth whose larvae feed on tobacco and other dried plant products","1","small moth whose larvae feed on tobacco and other dried plant products"
"tobacco_thrips","animal","injurious to growing tobacco and peanuts","1","injurious to growing tobacco and peanuts"
"Todidae","animal","a family of birds of the order Coraciiformes","1","a family of birds of the order Coraciiformes"
"Todus","animal","type genus of the Todidae","1","type genus of the Todidae"
"tody","animal","tiny insectivorous West Indian bird having red-and-green plumage and a long straight bill","1","tiny insectivorous West Indian bird having red-and-green plumage and a long straight bill"
"Togaviridae","animal","a family of arboviruses carried by arthropods","1","a family of arboviruses carried by arthropods"
"Tolypeutes","animal","a genus of Dasypodidae","1","a genus of Dasypodidae"
"Tolypeutes_tricinctus","animal","South American armadillo with three bands of bony plates","1","South American armadillo with three bands of bony plates"
"tom","animal","male cat","1","male cat"
"tom_turkey","animal","male turkey","1","male turkey"
"tomato_fruitworm","animal","larva of a noctuid moth","1"," highly destructive to especially corn and cotton and tomato crops"
"tomato_hornworm","animal","large green white-striped hawkmoth larva that feeds on tomato and potato plants","1"," similar to tobacco hornworm"
"tomato_worm","animal","large green white-striped hawkmoth larva that feeds on tobacco and related plants","1"," similar to tomato hornworm"
"tomcat","animal","male cat","1","male cat"
"Tomistoma","animal","a genus of Malayan crocodiles","1","a genus of Malayan crocodiles"
"Tomistoma_schlegeli","animal","crocodile of southeast Asia similar to but smaller than the gavial","1","crocodile of southeast Asia similar to but smaller than the gavial"
"tomtate","animal","found off the West Indies and Florida","1","found off the West Indies and Florida"
"tomtit","animal","widely distributed European titmouse with bright cobalt blue wings and tail and crown of the head","1","widely distributed European titmouse with bright cobalt blue wings and tail and crown of the head"
"tongue-fish","animal","left-eyed marine flatfish whose tail tapers to a point","1"," of little commercial value"
"tongue_worm","animal","wormlike arthropod having two pairs of hooks at the sides of the mouth","1"," parasitic in nasal sinuses of mammals"
"tonguefish","animal","left-eyed marine flatfish whose tail tapers to a point","1"," of little commercial value"
"tongueless_frog","animal","almost completely aquatic frog native to Africa and Panama and northern South America","1","almost completely aquatic frog native to Africa and Panama and northern South America"
"tooth","animal","toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell","5","toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell"
"tooth_shell","animal","any of various seashore mollusks having a tapering tubular shell open at each end and a foot pointed like a spade for burrowing","1","any of various seashore mollusks having a tapering tubular shell open at each end and a foot pointed like a spade for burrowing"
"toothed_whale","animal","any of several whales having simple conical teeth and feeding on fish etc.","1","any of several whales having simple conical teeth and feeding on fish etc."
"topi","animal","a large South African antelope","1"," considered the swiftest hoofed mammal"
"topknot","animal","showy crest or knot of hair or feathers","1","showy crest or knot of hair or feathers"
"topminnow","animal","small usually brightly-colored viviparous surface-feeding fishes of fresh or brackish warm waters","1"," often used in mosquito control"
"Torpedinidae","animal","electric rays","1","electric rays"
"Torpediniformes","animal","rays with bodies shaped like torpedoes","1","rays with bodies shaped like torpedoes"
"torpedo","animal","any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges","1","any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges"
"torsk","animal","large edible marine fish of northern coastal waters","1"," related to cod"
"tortoise","animal","usually herbivorous land turtles having clawed elephant-like limbs","1"," worldwide in arid area except Australia and Antarctica"
"tortoiseshell","animal","brilliantly colored","1"," larvae feed on nettles"
"tortoiseshell-cat","animal","a cat having black and cream-colored and yellowish markings","1","a cat having black and cream-colored and yellowish markings"
"tortoiseshell_butterfly","animal","brilliantly colored","1"," larvae feed on nettles"
"tortoiseshell_turtle","animal","pugnacious tropical sea turtle with a hawk-like beak","1"," source of food and the best tortoiseshell"
"tortricid","animal","any of numerous small moths having lightly fringed wings","1"," larvae are leaf rollers or live in fruits and galls"
"tortricid_moth","animal","any of numerous small moths having lightly fringed wings","1"," larvae are leaf rollers or live in fruits and galls"
"Tortricidae","animal","leaf rollers and codling moths","1","leaf rollers and codling moths"
"tortrix","animal","California moth whose larvae live in especially oranges","1","California moth whose larvae live in especially oranges"
"toucan","animal","brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak","1","brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak"
"toucanet","animal","small toucan","1","small toucan"
"touraco","animal","large brightly crested bird of Africa","1","large brightly crested bird of Africa"
"tow-headed_snake","animal","boa of grasslands and woodlands of western North America","1"," looks and feels like rubber with tail and head of similar shape"
"towhee","animal","any of numerous long-tailed American finches","1","any of numerous long-tailed American finches"
"toxicognath","animal","either of a pair of poison fangs in the modified front pair of legs of the centipede","1","either of a pair of poison fangs in the modified front pair of legs of the centipede"
"Toxostoma","animal","thrashers","1","thrashers"
"Toxostoma_rufums","animal","common large songbird of eastern United States having reddish-brown plumage","1","common large songbird of eastern United States having reddish-brown plumage"
"Toxotes","animal","type genus of the Toxotidae","1","type genus of the Toxotidae"
"Toxotes_jaculatrix","animal","any of several small freshwater fishes that catch insects by squirting water at them and knocking them into the water","1"," found in Indonesia and Australia"
"Toxotidae","animal","archerfishes","1","archerfishes"
"toy","animal","any of several breeds of very small dogs kept purely as pets","2","any of several breeds of very small dogs kept purely as pets"
"toy_dog","animal","any of several breeds of very small dogs kept purely as pets","1","any of several breeds of very small dogs kept purely as pets"
"toy_Manchester","animal","breed of small Manchester terrier","1","breed of small Manchester terrier"
"toy_Manchester_terrier","animal","breed of small Manchester terrier","1","breed of small Manchester terrier"
"toy_poodle","animal","the breed of very small poodles","1","the breed of very small poodles"
"toy_spaniel","animal","a very small spaniel","1","a very small spaniel"
"toy_terrier","animal","a small active dog","1","a small active dog"
"Trachinotus","animal","a genus of Carangidae","1","a genus of Carangidae"
"Trachinotus_carolinus","animal","found in coastal waters New England to Brazil except clear waters of West Indies","1","found in coastal waters New England to Brazil except clear waters of West Indies"
"Trachinotus_falcatus","animal","large game fish","1"," found in waters of the West Indies"
"Trachipteridae","animal","ribbonfishes","1","ribbonfishes"
"Trachipterus","animal","type genus of the Trachipteridae","1","type genus of the Trachipteridae"
"Trachipterus_arcticus","animal","deep-sea ribbonfish","1","deep-sea ribbonfish"
"trachodon","animal","large duck-billed dinosaur of the Cretaceous period","1","large duck-billed dinosaur of the Cretaceous period"
"trachodont","animal","large duck-billed dinosaur of the Cretaceous period","1","large duck-billed dinosaur of the Cretaceous period"
"Trachurus","animal","the scads (particularly horse mackerels)","1","the scads (particularly horse mackerels)"
"Trachurus_symmetricus","animal","a California food fish","1","a California food fish"
"Trachurus_trachurus","animal","large elongated compressed food fish of the Atlantic waters of Europe","1","large elongated compressed food fish of the Atlantic waters of Europe"
"trade_rat","animal","any of several bushy-tailed rodents of the genus Neotoma of western North America","1"," hoards food and other objects"
"Tragelaphus","animal","African antelopes: kudus","1"," bongos; nyalas; bushbucks"
