FrameNet frame,Definition
Rate_quantification,An Event occurs that can be characterized by a given Rate. The Rate is a ratio of how much a particular quantity changes over time. Degree compares the the given Rate with a standard or expected rate ...
Ratification,"A Ratifier responds to a Proposal constructed by another party to make it binding over the Ratifier's jurisdiction or constituency. 'The ratification of the Kyoto protocol has been a long, hard slog.'..."
Reading_activity,"A Reader visually examines a Text, typically in a linear order, to understand its content. In place of the Text, a Topic may be mentioned. 'She ca n't read . INI' 'They read the bible nightly .' 'I 'v..."
Reading_aloud,"A Speaker interprets a written Text and speaks the contents, usually to an Addressee. The contents may be the Text verbatim or a representation of the text. 'I do think they read to them when they are..."
Reading_perception,"The Reader attends to a Text to process its information. Sometimes a particular kind of Sought_phenomenon is sought in the Text. '' The metaphor which allows motion verbs plus ""through"" to express rea..."
Reason,A volitional Agent is responding to a State_of_affairs by performing some Action. 'And was that your reason for becoming an actor ?' 'But Giles is the reason that I am here .' 'Oh my reason for includ...
Reasoning,"An Arguer presents a Content, along with Support, to an Addressee. The Content may refer elliptically to a course of action or it may refer to a proposition that the Addressee is to believe. Some lexi..."
Reassuring,A Speaker conveys a Message to an Experiencer in order to reassure them about a Situation; Medium and the Means of the communication also may be expressed. 'We reassured him that his decision was soun...
Rebellion,"An individual or group, the Rebel, rejects the authority of the Current_leadership, and attempts to bring them out of power. The rebellion may, but need not be violent. Rather than expressing rebellio..."
Receiving,A Recipient comes into possession of the Theme as a result of the joint action of the Donor and the Recipient. The Receiving frame like the Giving frame requires that the Donor first has possession of...
Recording,"An Agent sets down in permanent form information about the occurrence of a Phenomenon. Alternatively, the Agent records that an Entity had a particular Value for one of its Attributes. 'While visiting..."
Records,A Record that contains a permanent account of Data. This Record may be maintained by a Recorder for a certain Entity. '' 'The bank's books were not accurate.' 'He made notes of the subject's responses...
Recovery,These words describe the recovery or healing of a Patient from an Affliction without reference to the influence of any Treatment or Healer (see the Cure frame). '' 'My injuries had not yet completely ...
Redirecting,"An intentional Agent or a causing event (Cause) event causes a Theme which is already in motion to take a different Path or Direction, or reach a different Goal than the Original_path. 'The hotel busi..."
Reference_text,"In a text, a Source_of_information is given that provides a reader of the text with further Information relevant to the text. In this frame the author and reader are completely deprofiled, with the So..."
Referring_by_name,"A Speaker uses a particular linguistic form, a Name to refer to an Entity. The Entity often is an interlocutor but may be somebody that the Speaker is talking about, or even just a physical object. No..."
Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts..."
Regard,"A Cognizer has a Judgment of an Evaluee, expressing how high or low their regard for the Evaluee is. 'What do you think of him as a linguist?' 'She secretly thought well of him for his role in defrock..."
Rejuvenation,The action of an Agent or the occurrence of a Cause event returns an Entity to an earlier state of vigor and strength. 'Falling prices and wireless connectivity have breathed new life into the PDA mar...
Relating_concepts,A Concept_1 is related to Concept_2 by some Evidence. 'The single remaining piece of evidence linked Kirov the tailor to Kirov the dissident activist.' 'There is ample data relating earnings to years ...
Relation,A relation holds between Entity_1 and Entity_2. 'I see no relation between these animals.'
Relational_natural_features,"The Focal_feature is defined in relation to a Landmark_feature, either as a particular part, or as an immediately bordering entity. 'I'm on the summit of Mt. Shasta.'"
Relational_political_locales,"A Locale is defined politically to be the head of state of another, larger political locale, the Container_possessor. 'She had repeatedly been to the capital of the nation, and there had met with a re..."
Relational_quantity,"A quantity, the Numerator, can be understood in terms of how it relates to another quantity, the Denominator; the comparison of these two numbers is called the Rate. The nouns in this frame may denote..."
Relative_time,"These words relate to the relative ordering of two events or times. There are two major types of relations evoked by the words of this frame. '' Some of the words (e.g. follow.v, antecedent.a, previou..."
Releasing,A Captor ends the captivity or inhibition of the motion of a Theme from the Location_of_confinement. The release is in accord with the plans of the Captor. 'They released me from prison on New Year's ...
Reliance,"A Protagonist needs a Means action performed for their Benefit. The relevant Means action is often evoked only by reference to an Intermediary who performs it. Also, if the Protagonist performs the Me..."
Reliance_on_expectation,"A Cognizer takes a certain Expectation to be a reliable fact, such that their plans can be based on it. 'I can always count on him being late to work when it's raining.'"
Religious_belief,A Believer has faith in a piece of Content or an Element which fits into a religious belief system made up of many articles of faith. The Content is not necessarily tied to direct sensory experience. ...
Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process. The original Resource may be indicated metonymically via reference t..."
Remembering_experience,A Cognizer calls up an episodic memory of past Experience or an Impression of a Salient_entity formed on the basis of past experience. The Cognizer may also remember the Salient_entity in a particular...
Remembering_information,A Cognizer retains facts in memory and is able to retrieve them. The Mental_content may be presented in clearly propositional form as a finite clause. It may also take the form of an embedded question...
Remembering_to_do,A Cognizer thinks of and performs an Action that is a self- or other-imposed task or some other kind of desirable behavior. The Action may involve a Salient_entity in some way affected by the Cognizer...
Removing,"An Agent causes a Theme to move away from a location, the Source. The Sourceis profiled by the words in this frame, just as the Goal is profiled in the Placing frame. 'I saw that several men in dark s..."
Render_nonfunctional,An Agent affects an Artifact so that it is no longer capable of performing its inherent function. 'I broke the TV.'
Renting,A Lessee gains the use of Goods owned by a Lessor by payment to the Lessor. 'We are renting our apartment from a kind man named Tom.'
Renting_out,A Lessor who owns some Goods allows a Lessee to use the Goods temporarily in exchange for Money. 'I rented my cabin to him.'
Renunciation,A Speaker declares that they will no longer be involved with the Content. Such a declaration implies that the Speaker has decided that association with the Content is somehow undesirable. 'That will o...
Reparation,"The words in this frame describe the process of making amends for some (wrongful) action (the Injury) committed by the Wrongdoer. In this process, in order to appease the Injured_party or to follow la..."
Repayment,"A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time. Alternatively, the type of Loan can be expressed as the object of repayment. 'I am paying back $2,000 of my studen..."
Repel,A Defender successfully repels the aggressive attempt of takeover by an Enemy. 'We repelled the invaders.'
Replacing,An Agent changes the filler of a Role by placing a New filler in the position after the Old filler ceases to occupy the position. Often this entails the Agent removing the Old filler. In most cases th...
Reporting,In this frame an Informer informs the Authorities of the illegal or otherwise improper Behavior of the Wrongdoer. ' Tony reported Michael to the police for breaking into his car. ' ' The teacher repor...
Representative,A Representative is authorized by a Represented to communicate on behalf of the Represented. 'She is a representative for Pepsi.'
Representing,"An Entity represents some Phenomenon through its existence and/or defining characteristics. Sometimes a Cognizer, a people or group of people who believe in the representation, is expressed. 'A bear s..."
Request,"In this frame a Speaker asks an Addressee for something, or to carry out some action. 'The customer demanded a refund.' 'I begged my parents to let me stay up late.'"
Request_entity,A Customer requests an Entity from a Supplier. The Customer can order the Entity himself or via a Medium. '' 'I ordered a black scarf from J. Crew a week ago.' '' 'Mr. Strom's order has been cancelled...
Required_event,"Unless a particular Required_situation obtains, Negative_consequences will follow. Alternatively, the Required_situation is required to achieve a Purpose (which avoids Negative_consequences). A set of..."
Rescuing,An Agent saves a Patient or an Asset from a Harmful_situation. 'Israeli commandos rescued the hostages and left.' 'His German shepherd saved him from drowing once.' 'She saved my life on the bridge ye...
Research,"A Researcher (an individual a group or institution) attempts to answer a Question by means of consulting literature, observation, or conducting experiments in a particular Field pertinent to the Quest..."
Reserving,"In this frame, a Booker brings about a situation where an Organization plans to provide Services to a Client at a particular Scheduled_time. The Organization has authority over when Services are provi..."
Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape. Some of ..."
Residence,"This frame has to do with people (the Residents) residing in Locations, sometimes with a Co-resident. 'Peter lives in New York.' 'Sue is an inhabitant of Los Angeles.'"
Resolve_problem,"An Agent resolves an outstanding Problem by finding its solution, explanation, answer, etc. Alternatively, some non-agentive Cause may resolve the Problem. The Means, Degree, Time and Place may also b..."
Respond_to_proposal,"A Speaker addresses a Proposal made by an Interlocutor, either agreeing to it or rejecting it. Agreeing entails a social responsibility on the Speaker to bring about some state of affairs encoded in t..."
Response,"An Agent performs a Response action in consequence of a Trigger event. In many cases, a non-agentive Responding_entity causes the Response after the Trigger occurs. 'I respond to earthquakes by hiding..."
Responsibility,An Agent is responsible for having intentionally performed an Act or for being the or a primary instigator behind the Act. There is often a sense of negative evaluation of the Agent for having done so...
Rest,"One Part of a larger Whole has been mentioned, is inferrable, or is available in the discourse setting and the previously unmentioned part, the Rest, is now mentioned. 'The lenses , like the rest of t..."
Resurrection,"A Protagonist which had been dead returns to life. 'He'll come back from the dead at 11:03PM exactly, since that's what his suicide note indicated.'"
Retaining,In this frame an Agent continues to possess a Theme for a Duration of time. '' 'In her heart she must retain bitterness against those who had killed him.' 'I kept the iPhone Sally gave me.'
Reveal_secret,"A Speaker reveals Information that was previously secret to an Addressee. In some cases, the Addressee is expected to keep the Information from other parties. The Information may be damaging to the re..."
Revenge,"This frame concerns the infliction of punishment in return for a wrong suffered. An Avenger performs a Punishment on a Offender as a consequence of an earlier action by the Offender, the Injury. The A..."
Revolution,"An Agent brings about a radical change in leadership by removing the Current_leadership and potentially dismantling the Current_order, outside recognized means of doing so (e.g., elections). 'Recent r..."
Rewards_and_punishments,"An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs. Means and Instrument may also be indicated. The goal of the punishment/rewa..."
Ride_vehicle,"In this frame a Theme is moved by a Vehicle which is not directly under their power. The Source, Path, Goal, or Area of the motion may be indicated. The Distance traveled or the Speed of motion may al..."
Rising_to_a_challenge,"A Protagonist, by exerting great effort, comes to meet the pre-conditions for participating in an Activity that is judged to be difficult for them to participate in, either due to their inherent prope..."
Risky_situation,"A particular Situation is likely (or unlikely) to result in a harmful event befalling an Asset. The Situation may be a state, an activity, or some focal entity that must be inferred to be part of some..."
Rite,"This frame concerns rituals performed in line with religious beliefs or tradition. 'In certain fertility rites in Burma , a woman desirous of offspring is required not only to approach the King Cobra ..."
Roadways,"This frame involves stable Roadways which connect two stable Endpoints, the Source and the Goal. Being physical objects, these Roadways may have Names and Characteristics; they are also made of a Mate..."
Robbery,"These are words describing situations in which a Perpetrator wrongs a Victim by taking something (Goods) from them. In some cases, the Source location from which the Goods were taken is used to metony..."
Rope_manipulation,An Agent manipulates a linear entity (the Rope) to form a Knot. 'Harry tied the rope into a slipknot.' 'Patty and Selma knotted the ties of their aprons.'
Rotting,"In this frame a Patient, which is an organic substance, undergoes the natural process of decaying from an Initial_state to a Result. 'The leaves rotted into a mass of slime.' 'The dresses decayed from..."
Run_risk,A Protagonist is described as being exposed to a potentially dangerous situation that may end in a Bad_outcome for him- or herself. An Asset which is in danger of loss may stand in for the Bad_outcome...
Sacrificing_for,An Agent sacrifices an (often abstract) Asset in exchange for a Benefit which is deemed better or more worth having. 'We never sacrifice quality for price.' 'What are you willing to sacrifice to get a...
Satisfying,"This frame describes an Agent or an Entity meeting or not meeting a Standard. Alternatively, an action or occurrence may be construed as an Event that meets or fails to meet the Standard. 'Will my cou..."
Scarcity,"The Quantity of a Collection occurring in a Place has a particular Measure, which is related to the amount generally needed. 'There is evidence that volatile materials have always been scarce on the M..."
Scheduling,An Agent schedules an Event to take place at a specified Scheduled_time and Place. 'Gina scheduled a dentist appointment for Monday in Berkeley.' 'Christa set up an afternoon meeting to discuss the ne...
Scope,An Event is described in terms of the diversity of entities that are affected or considered in the Event. Alternatively a Salient_entity which enables or brings about the Event can be similarly descri...
Scouring,"A Searcher looks all over a Ground in order to find a Sought_entity. The Sought_entity is not presupposed to exist. The search activity is not concerned with the state of the Ground, which is the case..."
Scrutiny,"This frame concerns a Cognizer (a person or other intelligent being) paying close attention to something, the Ground, in order to discover and note its salient characteristics. The Cognizer may be int..."
Secrecy_status,"A Phenomenon, which may be an activity, state or object, is purposefully hidden from the awareness of a potential Cognizer. The person responsible for the hiding of the Phenomenon is not part of this ..."
See_through,A Cognizer realizes that a State_of_affairs (or Focal_entity within the State_of_affairs) is meant to deceive (the Cognizer is not necessarily the intended victim of the deception). The Cognizer comes...
Seeking,A Cognizer_agent attempts to find some Sought_entity by examining some Ground. The success or failure of this activity (the Outcome) may be indicated. NB: This frame should be compared to the Scrutiny...
Seeking_to_achieve,"An Agent intends and takes steps towards bringing about a State_of_affairs or, metonymically, towards acquiring a Sought_entity . 'Libya sought nuclear weapons in the 1960s.' 'North Korea sought sever..."
Self_control,An Agent actively (yet not always with success) attempts to keep themselves from participating in an Event. The Agent is usually pushed to the Event because of an internal urge. '' 'He couldn't help b...
Self_motion,"The Self_mover, a living being, moves under its own direction along a Path. Alternatively or in addition to Path, an Area, Direction, Source, or Goal for the movement may be mentioned. 'She walked alo..."
Sending,A Sender plans the Path (along with Source and Goal) of a Theme and places it in circumstances such that it travels along this Path under the power of some entity other than the Sender. This frame als...
Sensation,This frame contains nouns that refer to sensations in different modalities. The FE Source is used for the phenomenon that gives rise to the sensation in question. The FE Percept is used for the charac...
Sent_items,"A Sent_item is prepared for, received after, or involved in a process of Sending, which may involve a particular kind of Transport_means. The Sent_item has an (intended or actual) Sender and Recipient..."
Sentencing,"During a court appearance, a Sentence, generally a punishment, is imposed on the Convict by a Court, usually represented by a judge. 'The judge sentenced Martha Stewart to 2 years in prison for inside..."
Separating,"These words refer to separating a Whole into Parts, or separating one part from another. The separation is made by an Agent or Cause and may be made on the basis of some Criterion. 'I divided the clas..."
Sequence,The words in this frame describe entities that occur in some temporally-ordered sequence. The entities thus have some sort of relation between them that might be described by the Relative_time frame. ...
Serving_in_capacity,An Agent occupies a Role in some institution. This Roleis (usually) temporary and can be occupied by other entities at different periods of time. It is common for a Duration of the Role to be mentionn...
Set_of_interrelated_entities,"A group of Component_entities along with their interrelations is viewed as a Complex. 'By definition, no external forces act upon an isolated system of particles.' 'Earth is a contained system which r..."
Setting_back_burn,A Firefighter sets a controlled fire to remove fuel from a currently incompletely controlled fire.
Setting_fire,"This frame describes either the creation of a Flame by a Kindler or non-sentient Cause, or the igniting of Flammables by a Kindler or a Cause. 'Taliban militants recently set fire to several schools.'..."
Setting_out,"A Self_mover begins a journey at a Source location, in a particular Directiongenerally setting out with an Intended_goal in mind. 'At about 1:00 in the morning, climbers set out for the summit.' 'The ..."
Severity_of_offense,In this frame an Offense is described in terms of the legal or other punishing action that can be taken in response to the offense. ' He committed an indictable crime . '
Sex,"Participants in a Sex act engage in or are subjected to sexual contact. Often the LUs in this frame are suggestive euphemisms which refer to non-sexual physical contact, Giving/Receiving scenarios, fr..."
Shaped_part,"An entity is a shaped Part of a larger Whole. The Part may correspond in form and function to a part of another entity. For instance, the leg of a table supports the weight of a table like the leg of ..."
Shapes,"This frame contains words which describe the dimensional extent and Shape of a Substance. These words do not make reference to a Part-whole relationship. There can also be a descriptor of the Shape, S..."
Sharing,"In this frame Protagonist_1 and Protagonist_2, collectively Protagonists, allow one another to partake jointly the use of an Entity . 'More than half of the group shared needles.' 'I shared the cake w..."
Sharpness,An Entity has a Sharpness characterized by its capability to cut. The Sharpness is a value of the Attribute of sharpness. 'That axe seems dangerously sharp.'
Shoot_projectiles,An Agent causes a Firearm to discharge which induces the rapid motion of the Projectile. 'The bank robber shot at the clerks with an AK-47.' 'Shooting a cannonball isn't as easy as it looks. CNI' Note...
Shopping,A Shopper looks for Goods in order to purchase them. 'She shopped for a new hat.'
Short_selling,"Short selling, a common financial market concept, involves an Intermediary selling Assets to the Market, having borrowed these Assets from a (generally implicit) Lender. The Intermediary is obligated ..."
Sidereal_appearance,"An Astronomical_entity comes into view above the horizon as part of a regular, periodic process of (apparent) motion of the Astronomical_entity across the sky. In the case of the sun, the appearance b..."
Sign,"A phenomenon, the Indicator, exists as an indication of another phenomenon, the Indicated. The relationship is asymmetric: the Indicated is not necessarily a sign for the existence or presence of an I..."
Sign_agreement,"A Signatory signs an Agreement document, thereby taking on a commitment encoded in the Agreement. '. During this time, 84 countries (including the United States) signed the Protocol.'"
Silencing,"An Agent causes a Speaker to become silent, sometimes about a particular Topic. 'The teacher quieted the children's laughter.'"
Similarity,"Two or more distinct entities, which may be concrete or abstract objects or types, are characterized as being similar to each other. Depending on figure/ground relations, the entities may be expressed..."
Simple_name,"A Term is the linguistic sign conventionally used by a Speaker to refer to a type of Entity. ' Perianth is a collective term for the outer whorls of the flower, which protect the reproductive parts du..."
Simple_naming,"A Speaker conventionally uses a particular Term to refer to an Entity. 'The pattern of conservation is similar to that found in C1_1, therefore we have termed this domain DC1 for divergent C1 domain.'"
Simultaneity,"Two Events happen at the same time. This may either be construed symmetrically as a relation holding between the Events, or asymmetrically as holding between a Landmark_event whose known occurrence is..."
Size,"The size of an Entity is assessed in terms of the Degree by which it deviates from the norm. The size generally refers to the amount of three-dimensional space that is occupied by the Entity, not prim..."
Sleep,The Sleeper stays in an altered state of consciousness with greatly reduced external awareness. 'We slept.'
Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required d...
Soaking,"In this frame, an Agent places the Theme in the Medium for an extended period of time, with the intent that the Theme will be affected by and absorb some of the Medium. ' Ellen soaked the beans in the..."
Soaking_up,An Item becomes filled with a Substance as a result of movement of liquid into visible or invisible interstices in the Item. 'Paper and board absorb moisture in the winter.' 'A stable soil soaks up wa...
Sociability,"These words describe how outgoing or sociable a Protagonist is judged to be by a (usually implicit) Judge, often in a particular context, either with certain people (the Company), or about a particula..."
Social_connection,A mutual social and personal relationship that keeps people involved in each other's lives comprises a Connection of Individual1 to Individual2 or between Individuals. 'They wanted to strengthen their...
Social_desirability,"This frame contains LUs which are like those of the Desirability frame except the Evaluee incorporates the Parameter as ""associated with a percieved place in a social heirarchy"" for all LUs. LUs are n..."
Social_event,"A Social_event occurs at which Attendees are present to conduct a social function or joint activity. The Social_event is often a party or celebration, in which case it is possible to express someone w..."
Social_event_collective,"This frames describes a social event where there may or may not be a permanent or semi-permanent relationship between participants. Additionally, participants in this frame are expressed in one repres..."
Social_event_individuals,"This frames describes a social event where there may or may not be a permanent or semi-permanent relationship between participants. Additionally, participants in this frame are expressed separately, a..."
Social_interaction_evaluation,In this frame an Evaluee is judged by a (usually implicit) Judge to be of a certain character based on her or his Behavior towards other human beings; a specific Affected_party may be overtly mentione...
Sole_instance,An Item is the only instance of its Type. 'Steven is the sole survivor in his family.'
Sound_level,An Entity is judged by a sound Attribute of some perceived level of Volume intensity. 'The radio is very loud.'
Sound_movement,"A Sound emitted by a Sound_source, which construed as a single point, moves along a Path. Rather than the Sound_source itself, the Location_of_sound_source may be mentioned. Essentially, this frame de..."
Sounds,"This frame is concerned with the percepts that vibrations which travel through the air or another medium produce in hearing organs. Sounds are a subtype of sensation. In talking about sounds, speakers..."
Source_of_getting,A Goal has a Source from which it has gotten a Theme. The Goal may be a sentient recipient who has actively obtained the Theme but it may also be a non-sentient entity that gets the Theme as a result ...
Spatial_co-location,"A Figure is located essentially at the same location as a Ground, which is viewed as point-like, or having no important internal or external structure. Typically, the Ground is viewed as point-like du..."
Spatial_contact,"A Figure is located in contact with a Ground. With some words that evoke this frame, the Figure is also asserted to be fully or partially supported by the Ground (e.g. on), while in others a support r..."
Speak_on_topic,"A Speaker addresses an Audience on a particular Topic. The Audience is generally passive, although for many types of address (including academic talks and press conferences), a discussion or question-..."
Specific_individual,LUs in this frame denote that the Instance of a Type is contextually notable. This frame typically requires dual FE layer annotation; see below. 'I contrived to acquire a particular vintage of Merlot'...
Speed_description,"An Entity is in motion at a particular Speed, a momentaneous description of distance traveled per time. 'The car went by real fast.' 'The car is really fast.' 'Oh yeah, Maseratis are fast! INI' 'The s..."
Spelling_and_pronouncing,"A Speaker realizes a Sign, usually a linguistic one, in some Formal_realization. The Formal_realization may be described as correct or incorrect in a Judgment expression, or it may be partially indica..."
Sports_jargon,"This frame contains LUs that have to do with the terminology used in competitive sports until a more complete, domain specific series of frames are created for the respective sport. This frame is a pl..."
Stage_of_progress,"An Entity is at a particular stage of its development. ' The Next Generation Internet (NGI) Program has been successfully completed.' 'Osama bin Laden, prime suspect in the US terror attacks, is outfo..."
Standing_by,"A Protagonist waits for an Expected_request, and is prepared to respond to the request when it comes by engaging in an Activity. Alternatively, the Protagonist waits for a Salient_entity involved in t..."
State_continue,"Despite some implication that a State would be interrupted, the Entity remains in the specified State. Note that State includes locative relations. 'Online security remains elusive.' ''"
State_of_entity,"An Entity is in a specified State. When not explicitly specified, the State usually concerns the Entity's health, repair, or functioning. The State is also often assessed with an Evaluation and it may..."
Statement,"This frame contains verbs and nouns that communicate the act of a Speaker to address a Message to some Addressee using language. Instead of (or in addition to) a Speaker, a Medium may also be mentione..."
Stimulus_focus,In this frame either a Stimulus brings about a particular emotion or experience in the Experiencer or saliently fails to bring about a particular experience. Some words indicate that the Stimulus is c...
Stinginess,"In this frame, a Resource_controller is judged by a Judge (who is usually implicit) according to how freely they allow the Recipient access to their Resource. The Resource_controller may exhibit this ..."
Store,A Supply of a Resource is kept safe and available for a future Use. The Supply may be under the control of a Possessor. 'Our supply of food is running low.'
Storing,An Agent has placed a Theme in an accessible but somewhat out of the way Location for the purposes of maintaining it free from harm and illegitimate use while it is not being used.
Strictness,"These adjectives describe the degree of strictness or tolerance of an Agent, usually with regard to another person (the Controllee) and often with regard to a particular Issue. The strictness/lenience..."
Studying,"A Student enrolls and then remains at an Institution for the purposes of education within a Subject. They may receive instruction from a particular Teacher at the Institution. The Place, Time, and Dur..."
Suasion,"A Speaker succeeds in getting an Addressee to believe or plan to execute the Content the Speaker has in mind. In most cases, the information is related to some course of action for the Addressee, and ..."
Subjective_influence,"An Agent, Situation or Entity has an influence on a Cognizer. The influence may be general; or it may be manifested in the Cognizer's engaging in an Action as a consequence of the influence; or the Co..."
Subjective_temperature,An Experiencer senses different degrees of warmth that may or may not be related to the ambient temperature. The level of warmth is usually compared against the Experiencer's subjective standard of co...
Submitting_documents,"A Submittor gives Documents to an Authority so that they can be processed as part of an application, evaluation or other official or bureaucratic process. 'I was sure I had passed as soon as I handed ..."
Subordinates_and_superiors,"Two individuals, the Subordinate and the Superior have a relationship such that the Subordinate generally follows orders given by the Superior and has the best interests of the Superior in mind. 'The ..."
Subsisting,"An Entity survives a situation with some Support, which tends to be far below the accustomed or standard level expected. The Degree to which the Support is responsible for the Entity's survival may be..."
Substance,"This frame concerns internally undifferentiated Substances. 'As their gut bacteria ferment cellulose , they generate methane gas , which escapes from the rear ends of the insects.' ' The pipes are lea..."
Substance_by_phase,In this frame a Patient is in a phase brought about after a change of phase. This can be its inherent phase or indicate that it is returned to its inherent state. 'Collect up the thawed water from the...
Subversion,"A Counter_actor or Cause impedes an Agent in an Activity or impedes the unfolding or continuation of a State_of_affairs. The opposing force applies without first being noticed, often in a secret or an..."
Success_or_failure,"An Agent has attempted to achieve a Goal, and the actual outcome of the Agent's action has been resolved, so that it either specifically matches the Agent's intent (e.g. success) or does not match it ..."
Successful_action,"The Means action by which a deprofiled agent (the Protagonist) has attempted to achieve a Goal, is finished and the actual outcome of the Means action has been resolved, so that it either specifically..."
Successfully_communicate_message,"A Communicator speaks to an Addressee in such a way that the Addressee understands and fully appreciates the truth and/or relevance of the Message. ' Marred by overblown writing , this first novel by ..."
Sufficiency,"An Item is located on a Scale relative to a critical value which is determined by some Enabled_situation. Generally, when the Enabled_situation is left unexpressed the Enabled_situation is interpreted..."
Suicide_attack,"An Assailant attacks a Victim, intending to die in the process. In the prototypical case, the attack is designed to kill the Assailant, as when a pilot deliberately crashes a plane into the target. 'T..."
Suitability,"This Frame is concerned with evaluating an Evaluee as being suitable for a Purpose or a User, presupposing some choice that is being made about which Evaluee to use for the Purpose or User. An LU like..."
Summarizing,A Communicator processes some information (either from textual or real-world/perceptual sources) regarding a State_of_affairs into a concise form (a summary) that contains the essential content in bri...
Supply,A Supplier gives a Theme to a Recipient to fulfill a need or purpose (Imposed_purpose) of the Recipient. 'Habituating the ground nesting chimp groups is done by provisioning them with sugar cane. CNI ...
Supporting,A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses). 'The bottom of the wall is supported by the foundation.' 'M...
Surpassing,In this frame a Profiled_item is higher that its Standard_item on a scale with respect to some Attribute. The Extent of the difference between the Standard_item and the Profiled_item may also be menti...
Surrendering,In this frame a Fugitive presents himself or herself to the Authorities to be subject to the criminal process. ' The bank robber surrendered to Berkeley police. ' ' Norte is expected to surrender to p...
Surrendering_possession,"A Surrenderer is compelled to transfer a Theme to a Recipient. 'Shortly after the boy surrendered the gun, the three remaining warriors made a rush for liberty.' 'He finally surrendered the item after..."
Surrounding,A Figure surrounds a Ground. The Ground location is presented as more likely to be a known location than the location of the Figure. Some lexical units entail more-or-less complete surrounding in two ...
Surviving,"A Survivor manages to avoid being negatively affected, despite encountering a Dangerous_situation. The negative effect is most often death, destruction, or a metaphorical construal of one of these. 'W..."
Suspicion,"A person or group, the Authority, believes that another person, the Suspect is a participant in a criminal Incident. 'The police suspect Noah Rogers of aiding the robbery last night at Shop-n-drive.'"
System,A Complex with a particular Function is formed out of Component_entities. The function may be expressed by reference to a Salient_entity involved in the working of the Complex. 'The body's immune syst...
System_complexity,"A System is perceived as complex depending on the intricacy of the interconnectivty of its parts or components. These individual parts or components do not function as frame elements in this frame, ev..."
Take_place_of,"A New filler occupies a Role or serves a Function after the Old filler ceases to occupy the position. In many cases, the Role or Function is implicit. 'Gas can substitute entirely for petrol.' 'Someti..."
Taking,An Agent removes a Theme from a Source so that the it is in the Agent's possession. 'Milton took the can of beer out of the refrigerator.'
Taking_captive,An Agent begins preventing a Captive from moving despite a tendency or desire on the part of the Captive to do so. 'Authorities recently captured several suspects who were hiding in a remote mountain ...
Taking_sides,A Cognizer has a relatively fixed positive or negative point of view towards an Issue. A Side in a debate concerning an Issue or an Action of a Side may stand in for the Issue. The Cognizer's Degree o...
Taking_time,"An Activity takes some Time_length to complete. If an Agent is involved they may stand in metonymically for the Activity. For some LUs (e.g., fast, speedy) the Degree to which the Activity is conceive..."
Talking_into,"A Speaker expresses through language his wish to get the Addressee to act. The Addressee forms an intention to act and does so. '' 'You think I talked Peter into giving me those earrings, don't you?' ..."
Tasting,An Agent ingests or begins to ingest a Food item that they have not had before with the intention of determining its quality on some scale. A Purpose for trying the Food may be explicitly mentioned. '...
Team,A Team is a group with shared goals and works toward them together in a coordinated fashion.
Telling,"A Speaker addresses an Addressee with a Message, which may be indirectly referred to as a Topic. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. 'I told him about the party.'"
Temperature,"An Entity has a Temperature characterized by the target. The Temperature is a value of the temperature Attribute. 'The pan is already too hot to touch.' 'The walk-in was freezing, but it was better th..."
Temporal_collocation,"A Trajector is identified as occurring at the same time as some better-known Landmark. We consider sequenced calendric units (e.g. Tuesday, 1987, January) as periods for the purposes of this frame. So..."
Temporal_pattern,A salient Subevent has a Pattern of recurrence within a larger Process. 'Tony's fingers tapped rhythmically on the keyboard'
Temporal_subregion,"A Subpart of a Time_period is picked out. In some cases, the part (as opposed to the entire Time_period) may be described by a Subpart_property. The Time_period may be indicated by an event which take..."
Temporary_group,A Temporary_group is formed from members of a Parent_organization for a particular Purpose. The Temporary_group does not exist independently within the Parent_organization. It is under the control of ...
Temporary_leave,"A Person takes leave from his or her routine Activity (such as work or school) for a Duration of time. The Duration can be any length of time, as long as the absence is temporary. '' 'The claimant sho..."
Temporary_stay,"A Guest stays for a time at a Location, which is not his or her permanent residence, for some Duration. The Location is often the permanent residence of a Host. 'I usually stay with my aunt at her sum..."
Terms_of_agreement,"A condition that is set out in an Agreement imposes Requirements on a Party or parties, with respect to some Regulated_entity. If the conditions are not met, the Agreement as a whole ceases to be vali..."
Terrorism,A Terrorist commits a violent or otherwise harmful Act upon a Victim in order to coerce or terrorize a government or populace. The Act may be committed in particular for political or ideological reaso...
Text,"A Text is an entity that contains linguistic, symbolic information on a Topic, created by an Author at the Time_of_creation. It may be a physical entity that is made of a certain Material etc. It may ..."
